brand,size,price,query,image,link
Other,XS,$5.00,y2k top,https://media-photos.depop.com/b1/31003735/3665868875_94c6dc18b1614245aa8f560f3e1343c2/P0.jpg,https://www.depop.com/products/jmar4eec-y2k-leopard-print-halter-neck-ad15/
Other,One size,$1.00,y2k top,https://media-photos.depop.com/b1/50000205/3695119144_ccc94a7967414654b7998ff7938c54c5/P0.jpg,https://www.depop.com/products/ncahaus-new-cute-tops-this-deee/
Other,XL,$14.00,y2k top,https://media-photos.depop.com/b1/11676354/3687236619_206a19d8d12a4c9793a99aebfe033157/P0.jpg,https://www.depop.com/products/pre2tydamageco-y2k-brown-green-halter-a76d/
Other,L,$14.00,y2k top,https://media-photos.depop.com/b1/215132506/3697522756_bba8b078b3774bba9158ae9a02c5600a/P0.jpg,https://www.depop.com/products/wpiskerz7-jtb-y2k-earth-toned-brown-a728/
Urban Outfitters,XS,$18.00,y2k top,https://media-photos.depop.com/b1/28883491/3688827664_73e5ecd42f9b45009008d5a6b1f70001/P0.jpg,https://www.depop.com/products/sydne2_ragland-urban-outfitters-green-top-size-2f57/
Other,L,$12.00,y2k top,https://media-photos.depop.com/b1/39429293/3696738966_02cbdf1c2a414897ad43cb7030d75fdd/P0.jpg,https://www.depop.com/products/txtaiim-heartsoul-teal-ruffle-top-with-8a27/
Brandy Melville,One size,$10.00,y2k top,https://media-photos.depop.com/b1/398479893/repop_462959210_3398329749/3689315389_18a2335ed0b14ee085a8eec292be43ef/P0.jpg,https://www.depop.com/products/insfde_lees_closet-brandy-melville-pastel-pink-off-4905/
Rave,M,$15.00,y2k top,https://media-photos.depop.com/r1/43827635/3690417311_9ebf54f68bae4114b7e84d876dde6026/P0.jpg,https://www.depop.com/products/lowrisesiess-super-cute-y2k-rave-blue-8d9c/
Other,S,$10.00,y2k top,https://media-photos.depop.com/b1/49026629/3688533738_5f39e3c2bc8f48cfa31fd9a5945df647/P0.jpg,https://www.depop.com/products/yenbleu-y2k-pink-and-purple-mesh-c2f5/
Other,XS,$16.00,y2k top,https://media-photos.depop.com/b1/313710650/3700760912_233aa372770344448412b1c4b166ae99/P0.jpg,https://www.depop.com/products/mhuanosto-american-vintage-y2k-orange-floral-f599/
Other,M,$12.00,y2k top,https://media-photos.depop.com/b1/49342305/3686840069_e8d8f9d2c16e45ffaf5ac7846df9c79c/P0.jpg,https://www.depop.com/products/noe_s2closet-cream-sequin-top-with-tie-2906/
